N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2sp,word,poly,200,1000.0,7000,0.5006675567423231,3500
2sp,word,poly,200,10000.0,6994,0.5023364485981309,3547
2sp,word,poly,200,100000.0,6913,0.5230307076101469,4024
2sp,word,poly,200,1000000.0,6508,0.5931241655540721,4947
1p,word,poly,200,0.1,7000,0.5003337783711616,3500
1p,word,poly,200,1.0,6991,0.5016688918558078,3516
1p,word,poly,200,10.0,6918,0.5287049399198932,3547
1p,word,poly,200,100.0,6515,0.5797730307076101,3983
1p,word,poly,200,1000.0,5551,0.6722296395193591,4933
1p,word,poly,200,10000.0,4288,0.7750333778371161,7328
1p,word,poly,200,100000.0,3081,0.8584779706275033,12232
1p,word,poly,200,1000000.0,2222,0.8938584779706275,19847
2p,word,poly,500,0.1,7000,0.5006675567423231,3500
2p,word,poly,500,1.0,7000,0.5006675567423231,3500
2p,word,poly,500,10.0,7000,0.5006675567423231,3500
2p,word,poly,500,100.0,7000,0.5006675567423231,3500
2p,word,poly,500,1000.0,7000,0.5006675567423231,3500
2p,word,poly,500,10000.0,7000,0.5006675567423231,3500
2p,word,poly,500,100000.0,6999,0.5013351134846462,3533
2p,word,poly,500,1000000.0,6966,0.5160213618157543,3772
1p,pos,poly,50,0.1,4604,0.7246328437917223,33005
1p,pos,poly,50,1.0,3954,0.7646862483311081,203746
1p,pos,poly,50,10.0,3334,0.7967289719626168,1259710
1p,pos,poly,50,100.0,2775,0.8154205607476636,5230042
1p,pos,poly,50,1000.0,2172,0.8251001335113485,10000000
1p,pos,poly,50,10000.0,1779,0.8110814419225634,10000000
1p,pos,poly,50,100000.0,1536,0.7793724966622163,10000000
1p,pos,poly,50,1000000.0,1410,0.7696929238985314,10000000
1p,pos,poly,100,0.1,4604,0.7246328437917223,33005
1p,pos,poly,100,1.0,3954,0.7646862483311081,203746
1p,pos,poly,100,10.0,3334,0.7967289719626168,1259710
1p,pos,poly,100,100.0,2775,0.8154205607476636,5230042
1p,pos,poly,100,1000.0,2172,0.8251001335113485,10000000
1p,pos,poly,100,10000.0,1779,0.8110814419225634,10000000
1p,pos,poly,100,100000.0,1536,0.7793724966622163,10000000
1p,pos,poly,100,1000000.0,1410,0.7696929238985314,10000000
2sp,word,poly,5000,0.1,7000,0.4993324432576769,3500
2sp,word,poly,5000,1.0,7000,0.4993324432576769,3500
2sp,word,poly,5000,10.0,7000,0.4993324432576769,3500
2sp,word,poly,5000,100.0,7000,0.4993324432576769,3500
2sp,word,poly,5000,1000.0,7000,0.4993324432576769,3500
2sp,word,poly,5000,10000.0,7000,0.4993324432576769,3500
2sp,word,poly,5000,100000.0,7000,0.4993324432576769,3500
2sp,word,poly,5000,1000000.0,7000,0.4993324432576769,3500
3p,pos,poly,500,0.1,7000,0.4993324432576769,3500
3p,pos,poly,500,1.0,7000,0.4993324432576769,3500
3p,pos,poly,500,10.0,7000,0.4993324432576769,3501
3p,pos,poly,500,100.0,6999,0.49966622162883845,3545
3p,pos,poly,500,1000.0,6967,0.510347129506008,3850
3p,pos,poly,500,10000.0,6739,0.5590787716955942,5089
3p,pos,poly,500,100000.0,6033,0.6675567423230975,8678
3p,pos,poly,500,1000000.0,5040,0.7746995994659546,13901
1p,pos,poly,1000,0.1,4604,0.7246328437917223,33005
1p,pos,poly,1000,1.0,3954,0.7646862483311081,203746
1p,pos,poly,1000,10.0,3334,0.7967289719626168,1259710
1p,pos,poly,1000,100.0,2775,0.8154205607476636,5230042
1p,pos,poly,1000,1000.0,2172,0.8251001335113485,10000000
1p,pos,poly,1000,10000.0,1779,0.8110814419225634,10000000
1p,pos,poly,1000,100000.0,1536,0.7793724966622163,10000000
1p,pos,poly,1000,1000000.0,1410,0.7696929238985314,10000000
2p,pos,poly,1000,0.1,7000,0.4993324432576769,3500
2p,pos,poly,1000,1.0,7000,0.4993324432576769,3500
2p,pos,poly,1000,10.0,7000,0.5,3513
2p,pos,poly,1000,100.0,6987,0.5153538050734312,3584
2p,pos,poly,1000,1000.0,6799,0.5353805073431241,3769
2p,pos,poly,1000,10000.0,6137,0.6208277703604806,4493
2p,pos,poly,1000,100000.0,5001,0.7232977303070761,8236
2p,pos,poly,1000,1000000.0,3929,0.8067423230974633,14508
2p,word,poly,100,0.1,7000,0.5003337783711616,3500
2p,word,poly,100,1.0,7000,0.5003337783711616,3500
